date_time_(UTC),channel,duration,https://archive.org/details/,text
2021-01-01 00:00:00,CNNW,11,CNNW_20201231_230000_The_Situation_Room_With_Wolf_Blitzer/start/3600,"IN MEMORY: JOSEPHINE \""JOSIE\"" KOLAR WAS 94"
2021-01-01 00:00:00,MSNBCW,8,MSNBCW_20201231_230000_All_In_With_Chris_Hayes/start/3600,THE BIDEN BLITZ: THE CASE FOR FLOODING THE. ZONE WITH EXECUTIVE ORDERS ON DAY ONE \\
2021-01-01 00:01:00,CNNW,5,CNNW_20210101_000000_Erin_Burnett_OutFront/start/60,)UT-N'EXT
2021-01-01 00:02:00,CNNW,4,CNNW_20210101_000000_Erin_Burnett_OutFront/start/120,"SOURCES: AT LEAST 14O HOUSE GOP AND A \""HANDFUL\"" OF GOP. SENATORS EXPECTED TO OBJECT TO ELECTORAL COLLEGE VOTE COUNT"
2021-01-01 00:03:00,CNNW,9,CNNW_20210101_000000_Erin_Burnett_OutFront/start/180,Kaitlan Collins I CNN White House Correspondent
2021-01-01 00:04:00,CNNW,5,CNNW_20210101_000000_Erin_Burnett_OutFront/start/240,"SOURCE: TRUMP \""UNSE'ITLED\"" DURING FLORIDA TRIP; DISCUSSED. CONGRESSIONAL ELECTION CHALLENGES AS WAY TO CLING TO POWER"
2021-01-01 00:04:00,MSNBCW,8,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/240,RACHEL ONE-ON-ONE WITH LEV PARNAS
2021-01-01 00:05:00,CNNW,8,CNNW_20210101_000000_Erin_Burnett_OutFront/start/300,"SOURCES: AT LEAST 14O HOUSE GOP AND A \""HANDFUL\"" OF GOP. SENATORS EXPECTED TO OBJECT TO ELECTORAL COLLEGE VOTE COUNT"
2021-01-01 00:05:00,MSNBCW,11,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/300,"LEV PARNAS: TRUMP WAS \""AWARE\"" OF EVERYTHING"
2021-01-01 00:06:00,CNNW,12,CNNW_20210101_000000_Erin_Burnett_OutFront/start/360,MCCONNELL CALLED HAWLEY OUT OVER OBJECTING TO ELECTORAL. COLLEGE VOTE DURING CONFERENCE CALL HAWLEY WASN'T ON
2021-01-01 00:07:00,MSNBCW,6,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/420,"PARNAS: UKRAINE SCHEME WAS ABOUT BIDEN, NOT CORRUPTION\nRACHEL ONE-ON-ONE WITH LEV PARNAS"
2021-01-01 00:08:00,CNNW,13,CNNW_20210101_000000_Erin_Burnett_OutFront/start/480,"SOURCES: AT LEAST 14O HOUSE GOP AND A \""HANDFUL\"" OF GOP. SENATORS EXPECTED TO OBJECT TO ELECTORAL COLLEGE VOTE COUNT"
2021-01-01 00:10:00,MSNBCW,8,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/600,LEV PARNAS TALKS WITH RACHEL
2021-01-01 00:11:00,MSNBCW,13,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/660,"PARNAS: |T WASN'T JUST MILITARY AID, IT WAS ALL AID"
2021-01-01 00:12:00,CNNW,12,CNNW_20210101_000000_Erin_Burnett_OutFront/start/720,"Franita Tolson l Vice Dean, USC Law School"
2021-01-01 00:13:00,CNNW,5,CNNW_20210101_000000_Erin_Burnett_OutFront/start/780,"Ron Brownstein | Senior Editor, The Atlantic"
2021-01-01 00:13:00,MSNBCW,9,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/780,RACHEL ONE-ON-ONE WITH LEV PARNAS
2021-01-01 00:14:00,CNNW,13,CNNW_20210101_000000_Erin_Burnett_OutFront/start/840,MCCONNELL CALLED HAWLEY OUT OVER OBJECTING TO ELECTORAL. COLLEGE VOTE DURING CONFERENCE CALL HAWLEY WASN'T ON
2021-01-01 00:16:00,CNNW,10,CNNW_20210101_000000_Erin_Burnett_OutFront/start/960,"SOURCES: AT LEAST 14O HOUSE GOP AND A \""HANDFUL\"" OF GOP. SENATORS EXPECTED TO OBJECT TO ELECTORAL COLLEGE VOTE COUNT"
2021-01-01 00:20:00,MSNBCW,3,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1200,MICHAEL COHEN SERVING OUT THE REST OF HIS PRISON. SENTENCE AT HOME DUE TO CORONAVIRUS EPIDEMIC
2021-01-01 00:21:00,CNNW,8,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1260,U.S. REPORTS RECORD HOSPITALIZATIONS FOR 4TH STRAIGHT DAY
2021-01-01 00:21:00,MSNBCW,7,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1260,"COHEN: THERE ARE \""ONGOING\"" TRUMP INVESTIGATIONS"
2021-01-01 00:22:00,CNNW,11,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1320,CDC: NEARLY 2.8 MILLION COVID VACCINE DOSES ADMINISTERED;. TRUMP ADMINISTRATION'S GOAL WAS 2O MILLION BY TODAY
2021-01-01 00:22:00,MSNBCW,11,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1320,COHEN PLEADED GUILTY TO LYING TO CONGRESS IN 2O18
2021-01-01 00:24:00,CNNW,10,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1440,"Dr. Daniela Lamas I Critical Care Doctor, Brigham and Women's Hospital"
2021-01-01 00:24:00,MSNBCW,6,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1440,ONE-ON-ONE WITH MICHAEL COHEN
2021-01-01 00:25:00,CNNW,4,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1500,FAUCI: CONSIDERING GIVING MORE AMERICANS A FIRST COVID. VACCINE DOSE INSTEAD OF SAVING THEM FOR A SECOND DOSE
2021-01-01 00:26:00,CNNW,8,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1560,"FBI INVESTIGATING AFI'ER W| HOSPITAL SAYS 5OO+ VACCINE DOSES WERE. DISCARDED AFTER THEY WERE \""INTENTIONALLY REMOVED\"" FROM FRIDGE"
2021-01-01 00:26:00,MSNBCW,12,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1560,COHEN DISCUSSES WHAT TRUMP MIGHT DO TO AVOID CRIMINAL CHARGES
2021-01-01 00:27:00,CNNW,3,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1620,CDC: NEARLY 2.8 MILLION COVID VACCINE DOSES ADMINISTERED;. TRUMP ADMINISTRATION'S GOAL WAS 2O MILLION BY TODAY
2021-01-01 00:27:00,MSNBCW,8,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1620,ONE-ON-ONE WITH MICHAEL COHEN
2021-01-01 00:28:00,FOXNEWSW,9,FOXNEWSW_20210101_000000_Who_Can_Forget/start/1680,PHARMACIST ARRESTED FOR SPOILING VACCINE. . rm NEWS .HO
2021-01-01 00:28:00,MSNBCW,11,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1680,COHEN DISCUSSES TRUMP\u2019S 5OM+ PROFIT FROM. PALM BEACH PROPERTY SALE TO RUSSIAN BILLIONAIRE
2021-01-01 00:29:00,MSNBCW,5,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1740,"COHEN: TRUMP IS \""KEEN\"" ON PUTIN\u2019S POWER THAT HE IS SO \""IN SEARCH OF\"
2021-01-01 00:31:00,MSNBCW,4,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/1860,COHEN ON TRUMP\u2019S FAILED MOSCOW TOWER PROJECT
2021-01-01 00:33:00,CNNW,4,CNNW_20210101_000000_Erin_Burnett_OutFront/start/1980,SEN. PERDUE TO QUARANTINE JUST DAYS BEFORE CRUCIAL GEORGIA. RUNOFF AS GOP GROWS WORRIED ABOUT DEM TURNOUT IN EARLY VOTING
2021-01-01 00:35:00,FOXNEWSW,6,FOXNEWSW_20210101_000000_Who_Can_Forget/start/2100,JOIN NOW AT. FOX. . m FOXNATION.COM
2021-01-01 00:35:00,MSNBCW,5,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2100,833 2 OWNING OW!
2021-01-01 00:36:00,MSNBCW,6,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2160,FMR. TRUMP ATTORNEY MICHAEL COHEN DISCUSSES. HIS TIME WORKING FOR TRUMP IN NEW MEMOIR
2021-01-01 00:37:00,MSNBCW,13,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2220,"COHEN: \""DONALD TRUMP IS LIKE A CULT LEADER\u201d"
2021-01-01 00:38:00,MSNBCW,6,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2280,"COHEN: TRUMP'S \""HATRED FOR OBAMA IS PLAIN AND SIMPLE\"
2021-01-01 00:39:00,CNNW,11,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2340,YOUNGEST PERSON ELECTED TO CONGRESS RALLIES YOUTH VOTE IN GA
2021-01-01 00:39:00,FOXNEWSW,4,FOXNEWSW_20210101_000000_Who_Can_Forget/start/2340,"AH\"" Ann Fl'\ufb02"
2021-01-01 00:40:00,CNNW,11,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2400,"GOP REP.-ELECT MADISON CAWTHORN SAYS HE \""ABSOLUTELY\"". WOULD TAKE BACK MOCKING LIBERALS IN POST-ELECTION TWEET"
2021-01-01 00:41:00,MSNBCW,5,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2460,"COHEN: TRUMP WANTS TO BE \""PRESIDENT OF THIS COUNTRY FOR LIFE\"
2021-01-01 00:42:00,CNNW,12,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2520,"REPUBLICAN CONGRESSMAN-ELECT SAYS IT WAS A \""MISTAKE\"" TO. REFER TO HITLER AS \""THE FUHRER\"" IN A 2O17 SOCIAL MEDIA POST"
2021-01-01 00:43:00,CNNW,9,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2580,CAWTHORN CREDITS AOC WITH INSPIRING HIM TO RUN FOR OFFICE
2021-01-01 00:47:00,CNNW,6,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2820,. 833 2 OWNING OWNING C
2021-01-01 00:47:00,MSNBCW,7,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2820,ONE-ON-ONE WITH MARY TRUMP
2021-01-01 00:48:00,CNNW,11,CNNW_20210101_000000_Erin_Burnett_OutFront/start/2880,"BIDEN TEAM ALLEGES \""INDEFENSIBLE\"" LACK OF COOPERATION FROM OMB;. TRUMP BUDGET DIRECTOR ACCUSES BIDEN TEAM OF \""FALSE STATEMENTS\"
2021-01-01 00:48:00,MSNBCW,11,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2880,TRUMP\u2019S NIECE ON PRESIDENT\u2019S BOTCHED CORONAVIRUS RESPONSE
2021-01-01 00:49:00,MSNBCW,7,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/2940,MARY TRUMP: TRUMP IS \u201cFAILING\u201d AT CORONAVIRUS CONTAINMENT. \u201cBECAUSE HE\u2019S INCAPABLE OF SUCCEEDING AT IT\u201d
2021-01-01 00:50:00,CNNW,6,CNNW_20210101_000000_Erin_Burnett_OutFront/start/3000,"BIDEN TEAM ALLEGES \""INDEFENSIBLE\"" LACK OF COOPERATION FROM OMB. . Douglas Brinkley CJ\\N Presidential Historian\nBIDEN TEAM ALLEGES \""INDEFENSIBLE\"" LACK OF COOPERATION FROM OMB. . Douglas Brinkley History Professor, Rice University"
2021-01-01 00:50:00,MSNBCW,11,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/3000,ONE-ON-ONE WITH MARY TRUMP
2021-01-01 00:51:00,CNNW,6,CNNW_20210101_000000_Erin_Burnett_OutFront/start/3060,JIMMY CARTER TALKS WILLIE NELSON SMOKING POT IN THE WHITE HOUSE;. CNN FILM ON CARTER'S ROCK & ROLL CONNECTION AIRS 9PM ET SUNDAY
2021-01-01 00:51:00,MSNBCW,12,MSNBCW_20210101_000000_The_Rachel_Maddow_Show/start/3060,TRUMP\u2019S NIECE PREDICTS CONSEQUENCES. OF CLOSE PRESIDENTIAL ELECTION
