date_time_(UTC)	channel	duration	https://archive.org/details/	text
2020-12-22 00:00:00	CNNW	3	CNNW_20201221_230000_The_Situation_Room_With_Wolf_Blitzer/start/3600	IN MEMORY: JEFF GU'I'I'ENTAG WAS 52
2020-12-22 00:01:00	CNNW	6	CNNW_20201222_000000_Erin_Burnett_OutFront/start/60	TRUMP MEETS WITH LAWMAKERS TO PUSH ELECTION FRAUD CLAIMS
2020-12-22 00:01:00	FOXNEWSW	6	FOXNEWSW_20201222_000000_The_Story_With_Martha_MacCallum/start/60	BARR KEEPS FOCUS ON INVESTIGATION OF INVESTIGATORS. . W
2020-12-22 00:02:00	CNNW	9	CNNW_20201222_000000_Erin_Burnett_OutFront/start/120	TRUMP MEETS WITH LAWMAKERS TO PUSH ELECTION FRAUD CLAIMS;. SOME IN WH FEAR FINAL DAYS AS TRUMP ALSO TURNS TO CONSPIRACISTS
2020-12-22 00:02:00	FOXNEWSW	11	FOXNEWSW_20201222_000000_The_Story_With_Martha_MacCallum/start/120	AG BARR: DURHAM PROBE \"MAKING GOOD PROGRESS\". . W
2020-12-22 00:02:00	MSNBCW	5	MSNBCW_20201222_000000_The_ReidOut/start/120	COMING UP: JOY INTERVIEWS VP\u2014EIECT KAMAIA HARRIS
2020-12-22 00:03:00	CNNW	8	CNNW_20201222_000000_Erin_Burnett_OutFront/start/180	TRUMP MEETS WITH LAWMAKERS TO PUSH ELECTION FRAUD CLAIMS. . . . William Barr Attorney General\nTRUMP MEETS WITH LAWMAKERS TO PUSH ELECTION FRAUD CLAIMS;. SOME IN WH FEAR FINAL DAYS AS TRUMP ALSO TURNS TO CONSPIRACISTS
2020-12-22 00:03:00	FOXNEWSW	8	FOXNEWSW_20201222_000000_The_Story_With_Martha_MacCallum/start/180	BARR KEEPS FOCUS ON INVESTIGATION OF INVESTIGATORS Rowi.. . WIW
2020-12-22 00:04:00	CNNW	10	CNNW_20201222_000000_Erin_Burnett_OutFront/start/240	TRUMP MEETS WITH LAWMAKERS TO PUSH ELECTION FRAUD CLAIMS;. SOME IN WH FEAR FINAL DAYS AS TRUMP ALSO TURNS TO CONSPIRACISTS
2020-12-22 00:04:00	FOXNEWSW	7	FOXNEWSW_20201222_000000_The_Story_With_Martha_MacCallum/start/240	BARR KEEPS FOCUS ON INVESTIGATION OF INVESTIGATORS toryx.. . WWI-7mm\u201c-
2020-12-22 00:04:00	MSNBCW	7	MSNBCW_20201222_000000_The_ReidOut/start/240	ONE-ON-UNE WITH VP-ELECT KAMALA HARRIS
2020-12-22 00:05:00	FOXNEWSW	7	FOXNEWSW_20201222_000000_The_Story_With_Martha_MacCallum/start/300	BARR: NO REASON FOR HUNTER BIDEN SPECIAL COUNSEL tOPY\u00a3.
2020-12-22 00:05:00	MSNBCW	9	MSNBCW_20201222_000000_The_ReidOut/start/300	VP-ELECT KAMALA HARRIS ON GEORGIA SENATE RUNOFFS
